"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Watauga","NC","Boone","37","189",9.3181818181818,7.7399380804953,7.5617283950617,7.2857142857142,7.8462348604528,7.6923076923076,7.9155672823218,7.7230769230769,8.695652173913,9.0150250417362,8.4615384615384,8.2758620689655,8.1081081081081,7.0671378091872,6.8447412353923,6.9930069930069,7.8461538461538,7.8582434514637,7.9251090023082,8.2051282051282,8.1632653061224,7.3345259391771,7.0588235294117,7.0631970260223,7.6510725339611,7.6952674105425,7.3182957393483,6.9204152249134,7.4087794035932,7.1530758226037,7.2932330827067,7.6923076923076,7.6427238390053,6.6688896298766,6.25,6.7427385892116,6.2597809076682,6.0150375939849,5.7369314965087,5.6603773584905,5.889281507656,6.2519537355423,6.3616557734204,6.4545454545454,6.5332916536417,6.3965884861407,5.6981132075471,5.2910052910052,5.1282051282051
"Washington","OK","Bartlesville","40","147",6.5420560747663,7.0764832022873,6.2597809076682,7.1479628305932,7.168458781362,6.885758998435,6.9767441860465,6.7796610169491,6.6711140760507,6.2578222778473,6.4064064064064,6.4064064064064,6.9491525423728,6.2992125984251,6.3324538258575,5.6213017751479,6.150234741784,5.9623849539815,6.0869565217391,6.1167512690355,5.6140350877192,5.5415617128463,5.4761904761904,5.2380952380952,5.6603773584905,5.7306590257879,5.4054054054054,4.8709677419354,5,5.05,4.8571428571428,5.2325581395348,5.0431778929188,5.1704545454545,5.1792828685258,5.7306590257879,6.269592476489,5.5813953488372,5.0062578222778,5,5.5865921787709,5.8823529411764,5.1282051282051,5.1282051282051,5.4054054054054,5.2,5.0837988826815,5.7971014492753,5.2845528455284
"Crittenden","AR","Memphis","05","035",,5.43115769414,6.0504201680672,7.5037518759379,7.6923076923076,6.068376068376,6.068376068376,5.889281507656,5.7277628032345,6.6037735849056,6.8965517241379,7.1479628305932,7.1479628305932,6.25,5.8858151854031,6.0195635816403,5.8858151854031,6.1643835616438,6.1326658322903,7.5037518759379,9.0991810737033,7.5037518759379,7.1942446043165,6.9493521790341,6.253908692933,5.0042408821034,5.0025012506253,5.0251256281407,4.8192771084337,5.1348999129677,4.8192771084337,5.2687038988408,5.8804965285083,7.9051383399209,7.9051383399209,8.0106809078771,9.8214285714285,6.5359477124183,6.5359477124183,5.4083288263926,5.1898734177215,6.253908692933,7.0866141732283,7.5075075075075,7.9824561403508,7.0100143061516,7.9824561403508,7.0100143061516,5.2687038988408
"Cherokee","TX","Jacksonville","48","073",,7.7948717948717,8.6206896551724,8.4615384615384,8.6206896551724,9.1460055096418,9.2307692307692,10.01001001001,10,9.0936647468929,10,8.2568807339449,8.8145896656534,7.4074074074074,9.6803652968036,8.8145896656534,9.7175141242937,8.3333333333333,7.4766355140186,6.758448060075,5.5865921787709,6.1326658322903,5.8071686579605,6.2130177514792,6.1326658322903,6.2893081761006,6.2893081761006,7.1530758226037,6.5326633165829,6.6711140760507,6.9767441860465,7.7519379844961,7.7519379844961,7.7519379844961,7.2222222222222,7.2142857142857,7.7041602465331,6,6.6666666666666,6.6889632107023,6.6889632107023,7.1942446043165,7.0631970260223,6.9013112491373,6.6666666666666,6.6666666666666,7.1146245059288,7.1146245059288,7.1163189482709
"Camden","GA","St. Marys","13","039",6.6666666666666,7.6781002638522,7.7692307692307,7.7435897435897,8.0779944289693,8.133971291866,8.3402835696413,8.6294416243654,8.5374149659863,8.7762393925859,8.6021505376344,9.1344062635928,8.9717046238785,8.4923743645303,9.5454545454545,9.6757044125465,9.8270676691729,10.0334448160535,10.2773246329526,10.6796116504854,10.0143061516452,10.752688172043,10.3483959986202,11.4703618167821,10.3370786516853,9.6808510638297,9.7431355181576,9.090909090909,9.4716981132075,8.1210828110414,8.1124932395889,8.5714285714285,7.2727272727272,8.5496183206106,8.3673469387755,8.3361120373457,7.3463268365817,8.0800307810696,7.258064516129,7.258064516129,6.0024009603841,6.269592476489,6.8866571018651,6.2524423602969,6.1538461538461,6.4536947402387,7.0175438596491,7.0175438596491,5.4545454545454
"Henry","IL","Davenport","17","073",,7.7310924369747,7.0100143061516,6.3291139240506,5.7971014492753,6.6711140760507,6.3291139240506,6.3431247339293,9.7222222222222,7.6050700466977,8.1632653061224,7.7142857142857,8.1632653061224,7.5500770416024,5.7398630858346,5.27018012008,4.8811013767209,4.8811013767209,6.253908692933,6.864406779661,6.25,7.168458781362,7.2164948453608,8.1940257604823,8.1940257604823,6.4665127020785,5.9171597633136,6.253908692933,5.9058823529411,5.7377049180327,5.4437869822485,6.5180102915951,7.0697674418604,6.7430441898527,6.6985645933014,6.8292682926829,6.1339173967459,6.6037735849056,6.4587973273942,6.2992125984251,5.4054054054054,6.2526052521884,6.4155385520894,6.9534767383691,7.2715143428952,7.5187969924812,6.8,5.2770448548812,5.6692913385826
"Chenango","NY",,"36","017",,10.4137931034482,10.0050025012506,10.2695763799743,11.0714285714285,10.0502512562814,9.8196392785571,8.7221095334685,7.8947368421052,7.8947368421052,7.6666666666666,6.6889632107023,7.7041602465331,7.6666666666666,7.2573839662447,6.8,7.5037518759379,7.5037518759379,6.7164179104477,7.7041602465331,6.7114093959731,6.25,6.2745098039215,5.9107358262967,5.5586436909394,5.8234758871701,5.5865921787709,6.253908692933,6.6755674232309,6.4935064935064,7.81328125,8.4033613445378,8.2568807339449,7.2857142857142,6.6755674232309,7.6470588235294,9.1743119266055,10.5820105820105,10,7.7809798270893,7.3359073359073,7.3359073359073,7.4112426035502,8.0160320641282,7.9959100204498,7.9959100204498,7.6529797092187,7.1428571428571,7.3761854583772
"LeFlore","OK","Fort Smith","40","079",,8.5423728813559,7.7041602465331,8.2222222222222,9.0991810737033,9.2307692307692,9.7744360902255,10.01001001001,9.8497495826377,9.1836734693877,11.8823529411764,11.7318435754189,10.3225806451612,10.3225806451612,8.347245409015,8.3410565338276,8.2162162162162,7.0261437908496,6.5934065934065,6.5934065934065,6.7114093959731,6.7114093959731,6.7796610169491,7.1479628305932,8.3027675891963,8.4745762711864,6.8376068376068,7.6923076923076,6.801007556675,6.801007556675,6.801007556675,6.0869565217391,5.7197330791229,6.6711140760507,7.0588235294117,6.6711140760507,6.1145080600333,6.3157894736842,6.6755674232309,7.3033707865168,7.1641791044776,7.0093457943925,6.1176470588235,6.7796610169491,6.7796610169491,7.0558050032071,7.1942446043165,6.1815336463223,5.3481894150417
"Dale","AL","Enterprise","01","045",,6.6666666666666,7.3359073359073,7.2490706319702,7.4857142857142,6.8571428571428,6.813627254509,6.2893081761006,6.2893081761006,6.1804697156983,6.1804697156983,6.5604498594189,5.889281507656,5.9159663865546,5.8823529411764,6.5727699530516,7.4074074074074,5.889281507656,5.538727823453,5.889281507656,5.889281507656,5.3963783422701,6.1212477928193,6,5.5586436909394,4.6153846153846,5.1612903225806,5.1282051282051,4.8689138576779,4.8223350253807,5.3439153439153,6.0609585853885,5.6929269695227,5.6603773584905,4.9450549450549,5.0062578222778,6.0402684563758,5.6179775280898,5.1585357317841,6.3400576368876,6.275,6.6889632107023,6.2578222778473,5.7912457912457,5.9372915276851,5.4658302189001,5.2791878172588,4.9861495844875,5.0704225352112
"Montgomery","NY","Amsterdam","36","057",,11.5606936416184,11.7300902314633,10.0050025012506,9.0950432014552,8.4166666666666,8.4166666666666,10.5223880597014,10.948905109489,11.4703618167821,11.7716303708063,11.0521634324391,8.1214109926168,8.2823790994997,7.6982294072363,7.7041602465331,7.6923076923076,7.1787508973438,6.9379586390927,7.4603174603174,8.1081081081081,7.1111111111111,8.1081081081081,8.3333333333333,7.2666294019005,7.6773566569484,7.2666294019005,7.563025210084,8.1803005008347,7.906976744186,8.2653061224489,8.348623853211,8.347245409015,8.347245409015,8,7.7669902912621,7.1479628305932,7.0588235294117,6.668,8.0924855491329,8.5271317829457,8.3204930662557,7.3359073359073,7.4418604651162,7.8988941548183,8.1716036772216,7.7108433734939,8.3333333333333,7.4682598954443
"Grundy","IL","Chicago","17","063",,7.0247933884297,6.4051240992794,7.4101519081141,7.2573839662447,7.2573839662447,7.1428571428571,7.9539769884942,8.9629629629629,8.2568807339449,8.0064051240992,8.3379655364091,7.0754716981132,6.8067610781178,7.1454090746695,7.1479628305932,7.4074074074074,7.020007020007,6.6666666666666,6.7333333333333,6.3157894736842,5.7788944723618,6.1371841155234,6.2111801242236,6.25,5.8181818181818,4.4444444444444,4.6035805626598,4.5505617977528,4.7940995697602,5.4855448480355,5.4855448480355,6.0500290866783,6.2893081761006,7.0930232558139,6.2893081761006,5.6692913385826,5.5586436909394,5.5913978494623,4.7619047619047,4.5495905368516,5.1851851851851,5.005005005005,5.008347245409,5.1282051282051,5.2380952380952,5.5272727272727,5.8234758871701,5.5586436909394
"Dearborn","IN","Cincinnati","18","029",,7.0093457943925,6.7214339058999,5.8858151854031,5.8858151854031,5.8858151854031,6.25,5.8835294117647,5.8858151854031,5.2642661612971,5.8614564831261,5.9059059059059,5.8858151854031,6.6711140760507,5.664194200944,6.253908692933,5.9206631142687,6.253908692933,5.9075750357313,6.1056374175294,5.8858151854031,5.7197330791229,5.4505005561735,5.4594594594594,5.7408844065166,5.7408844065166,5.4054054054054,5.889281507656,5.5586436909394,6.1913696060037,5.5586436909394,6.2578222778473,5.4237288135593,6.6144200626959,5.8858151854031,6.6755674232309,5.9529764882441,5.6158565361019,5.5793991416309,5.6389267849022,5.5441478439425,5.3846153846153,5.5570991942206,5.7175528873642,5.8858151854031,6.3974387778027,6.1421670117322,6.2265566391597,5.0025012506253
"Box Elder","UT","Brigham City","49","003",,6.9767441860465,7.1005917159763,6.7164179104477,6.5497076023391,6.6044029352901,6.7537313432835,6.6251667407736,6.9013112491373,7.3658536585365,8.4507042253521,8.8587806149035,7.1479628305932,6.6711140760507,7.8947368421052,7.6952674105425,7.8571428571428,8.4033613445378,9.1012514220705,9.6031746031746,6.7453625632377,7.4211502782931,6.9204152249134,7.4074074074074,5.3685168334849,5.863198571961,6.4748201438848,5.7159188339525,6.2526052521884,7.7367205542725,7.4142724745134,8.2041020510255,6.2573328118889,5.005005005005,4.8809523809523,4.1684035014589,4.6349603671255,3.4678794769755,4.0032025620496,3.953488372093,3.7777777777777,4.0032025620496,5.2645433008686,5.2659294365455,5.3684210526315,5.6468906361686,4.4464206313917,5.005005005005,4.2562247286656
