"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Custer","MT",,"30","017",25.9259,32.1429,33.3333,28.5714,29.1667,46.6667,36.3636,,,,,,,,,,,,,,16.6667,25,25,,,,7.6923,5.2632,6.4516,14.2857,18.75,20,5.8824,5.5556,6.25,6.6667,,6.6667,5,19.2308,41.1765,35,37.5,23.8095,15,7.1429
"Cottonwood","MN",,"27","033",31.5217,42.5743,47,50,37.1429,28.7234,23.3333,18.5185,11.2676,12.987,11.1111,16.6667,17.4242,25.5952,36.1538,37.4101,37.5887,27.0073,23.0769,20.3252,18.3486,24.0741,27.2727,31.9149,27.2727,30.2083,27.7778,23.0769,25.6098,22.3529,30.9278,15.7895,18.6667,14.6667,17.094,19.6721,24.2647,25.6944,24.5033,23.8411,22.0588,20.7143,21.5385,17,20.7547,21
"Zavala","TX",,"48","507",,,,,,,,,9.0909,8.3333,,,,,,,,,,,9.0909,8.3333,,,,,,,,,,,,,,,,,,,,,,,,
"Wilcox","AL",,"01","131",9.375,23.3333,25.8065,30,29.0323,34.375,30.5556,22.5806,25,22.2222,18.9189,22.8571,18.0328,16.3265,26.3158,32.4324,28.5714,33.3333,29.7297,20.9302,18.9189,23.5294,27.7778,28.5714,26.9231,16.2162,15,25,20.5882,24.2424,31.0345,22.2222,28,24,23.0769,21.4286,17.3913,26.9231,28.5714,24.1379,18.5185,10,8.8235,6.25,22.2222,27.2727
"Big Horn","WY",,"56","003",22.1311,28.1818,32.7434,37.6068,25.8929,20.1923,17.0455,11.5385,11.25,5.9524,8.8889,13,22.093,21.0526,21.9298,20.6612,23.2143,20.1613,16.8067,15.4545,18.5185,18.2692,19.3277,21.9512,21.2598,26.6129,19.3798,21.6418,23.8462,25,24.5902,26.3636,23.4694,19.4175,14.2857,11.7117,16.6667,20.1439,21.3235,23.8806,20.6349,21.3115,16.9811,15.6863,19.1919,16.129
"Jackson","TN","Cookeville","47","087",27.2727,34.9515,31.5534,36.8932,30.1508,31.9797,31.0345,26.1628,22.6316,15.6757,15.625,23.2955,30.814,36.4641,28.9474,26.2032,31.25,32.5153,27.1605,23.4899,25,27.5168,23.6025,28.3871,29.0909,37.9518,44.8718,43.949,35.443,31.7241,22.4044,18.1287,20.9581,21.0191,23.9264,19,23.8342,26.6304,29.4118,32.4742,30.5,26.1224,25.5435,21.0526,17.7143,19.883
"Washita","OK",,"40","149",21.5385,23.8095,30.1887,27.5862,17.2414,20,25.8621,24.0741,21.875,20.5479,9.589,26.2295,31.4815,28.3019,28.3019,25.4545,30.4348,21.4286,25.4545,27.0833,15.7895,25.641,26.8293,24.4444,31.7073,23.6842,16.6667,10.9091,11.5385,14.2857,14.2857,14.2857,23.8095,19.0476,30.4348,28.5714,27.2727,38.6364,23.4043,28.5714,29.6296,25.4545,27.0833,24.5614,15.7895,18.75
"West Carroll","LA",,"22","123",27.7778,29.4118,38.0952,40.9091,26.087,45,33.3333,36,29.6296,29.6296,25.9259,36.3636,27.2727,26.3158,22.2222,16.6667,25,43.75,30,38.0952,26.087,36.3636,31.8182,42.1053,42.1053,26.3158,17.3913,25,28.5714,25,17.9487,21.7391,17.6471,35.7143,47.0588,56.25,33.3333,30,28.5714,28.5714,23.0769,22.2222,20.8333,18.1818,26.087,36.8421
"Bath","KY","Mount Sterling","21","011",36.0825,42.268,41.9355,38.9474,30.7692,32.2222,26.087,30.8511,29.4737,29.8077,25.8333,31.7757,30.7018,26.3736,23.8636,23.0769,19.3182,19.5122,18.9189,20.3125,19.1176,14.2857,21.519,21.6216,22.3684,28.3951,25.5319,32.1839,34.9398,30.3797,26.0274,23.5294,23.5294,23.5294,28.3784,29.1667,31.8182,23.6111,20.2532,21.8391,19.5122,31.0811,36.7647,31.8841,28.125,28.3333
"Fergus","MT",,"30","027",12.5,15.493,25,26.6667,26.087,26.087,14.2857,14.6667,17.4603,13.5135,12.1622,13.1148,16.129,24.6377,31.6667,24.1379,22.9508,19.6721,12.5,14.2857,12.5,8.6957,13.6364,21.2766,19.1489,15,12.5,16.3636,18.0328,14.5161,10.1449,14,21.7391,22.2222,15.7895,15.7143,16.6667,19.2771,23.4568,25,23.6111,23.8806,16.0714,13.3333,16.0714,16.3265
